titre,prix,ville,surface,chambres,salle_de_bain,lien,prix_log,prix_par_m2
Appartements à vendre,3000000.0,Appartements dans Agadir,187.0,3.0,3.0,https://www.avito.ma/fr/haut_founty/appartements/Appartements_%C3%A0_vendre_57157671.htm,14.914123179965662,16042.7807486631
Appartement à vendre 69 m² à Casablanca,440000.0,Appartements dans Casablanca,69.0,3.0,1.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_38635452.htm,12.994532278619134,6376.811594202899
Appartement 80m2 à vendre à Mers Sultan,900000.0,Appartements dans Casablanca,80.0,1.0,1.0,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_80m2_%C3%A0_vendre_%C3%A0_Mers_Sultan_57842926.htm,13.710151153416941,11250.0
Appartements neufs à vendre,770500.0,Appartements dans Dcheira,67.0,2.0,1.0,https://www.avito.ma/fr/dcheira/appartements/Appartements_neufs_%C3%A0_vendre_57591389.htm,13.5547962316,11500.0
CMN-MA-2470 - Appartement à vendre à Les Hôpitaux,1450000.0,Appartements dans Casablanca,117.0,3.0,1.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/CMN_MA_2470___Appartement_%C3%A0_vendre_%C3%A0_Les_H%C3%B4pitaux_57340348.htm,14.187074804051692,12393.162393162393
appartements à vendre,1600000.0,Appartements dans Agadir,128.0,3.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/appartements_%C3%A0_vendre_56940744.htm,14.285514812209815,12500.0
Appartements à vendre,1157000.0,Appartements dans Agadir,89.0,2.0,1.0,https://www.avito.ma/fr/tilila/appartements/Appartements_%C3%A0_vendre_57740727.htm,13.961341870479675,13000.0
Appartement à vendre Mogador Tesela,770000.0,Appartements dans Agadir,65.0,2.0,2.0,https://www.avito.ma/fr/tassila/appartements/Appartement_%C3%A0_vendre_Mogador_Tesela_57842917.htm,13.554147092530322,11846.153846153846
Appartement à vendre 60 m² centre ville souk mlilia,330000.0,Appartements dans Oujda,60.0,2.0,1.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_centre_ville_souk_mlilia_56130464.htm,12.706850963741102,5500.0
Appart 101m² piscine près Semlalia Majorel Gueliz,2200000.0,Appartements dans Marrakech,101.0,2.0,2.0,https://www.avito.ma/fr/semlalia/appartements/Appart_101m%C2%B2_piscine_pr%C3%A8s_Semlalia_Majorel_Gueliz_57780457.htm,14.603968372873895,21782.178217821784
Appartement à vendre 91 m² à Oulad Mtaa,1900000.0,Appartements dans Temara,91.0,2.0,1.0,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_Oulad_Mtaa_57842919.htm,14.45736497045232,20879.120879120877
2ème étage Karam 1 à côté de Carrefour,530000.0,Appartements dans Berrechid,94.0,2.0,1.0,https://www.avito.ma/fr/berrechid/appartements/2%C3%A8me_%C3%A9tage_Karam_1_%C3%A0_c%C3%B4t%C3%A9_de_Carrefour_57842918.htm,13.180634172318978,5638.297872340426
"Appartement rénové proche gare, plage et zoo",600000.0,Appartements dans Casablanca,67.0,2.0,1.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_r%C3%A9nov%C3%A9_proche_gare__plage_et_zoo_57778622.htm,13.304686600863562,8955.223880597016
Appartements à vendre,1400000.0,Appartements dans Agadir,70.0,2.0,2.0,https://www.avito.ma/fr/haut_founty/appartements/Appartements_%C3%A0_vendre_57803975.htm,14.151983508870947,20000.0
Des appartements à vendre,420000.0,Appartements dans Agadir,58.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Des_appartements_%C3%A0_vendre_53850953.htm,12.948012371209098,7241.379310344828
VENTE DIRECTE SUPERBES APPARTEMENTS,860000.0,Appartements dans Casablanca,78.0,2.0,2.0,https://www.avito.ma/fr/hay_hassani/appartements/VENTE_DIRECTE_SUPERBES_APPARTEMENTS_57279893.htm,13.664688831019712,11025.641025641025
appartement à vendre,1200000.0,Appartements dans Tanger,97.0,3.0,2.0,https://www.avito.ma/fr/aida/appartements/appartement_%C3%A0_vendre_57758453.htm,13.997832948091215,12371.134020618556
Studio à vendre,1083000.0,Appartements dans Agadir,57.0,1.0,1.0,https://www.avito.ma/fr/haut_founty/appartements/Studio_%C3%A0_vendre_57803904.htm,13.895246449343736,19000.0
Appartement à vendre rue Royal Army,1500000.0,Appartements dans Tétouan,150.0,3.0,2.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_rue_Royal_Army_55897749.htm,14.220976332738882,10000.0
Appartements à vendre,870000.0,Appartements dans Agadir,66.0,2.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartements_%C3%A0_vendre_56596790.htm,13.676249640055394,13181.818181818182
Appartements à vendre,2800000.0,Appartements dans Agadir,150.0,3.0,3.0,https://www.avito.ma/fr/haut_founty/appartements/Appartements_%C3%A0_vendre_57804087.htm,14.845130332288226,18666.666666666668
Appartement à vendre 104m² Amanar à Agadir,1456000.0,Appartements dans Agadir,104.0,3.0,1.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_104m%C2%B2_Amanar_%C3%A0_Agadir_56449553.htm,14.19120419455172,14000.0
Appartement 74 m² ascenseur syndic déclaration totale,555000.0,Appartements dans Tanger,74.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_74_m%C2%B2_ascenseur_syndic_d%C3%A9claration_totale_57842892.htm,13.22672519452875,7500.0
Appartement à vendre,650000.0,Appartements dans Agadir,67.0,2.0,2.0,https://www.avito.ma/fr/tilila/appartements/Appartement_%C3%A0_vendre_54361310.htm,13.384729180332174,9701.492537313432
Appartement 2 ch à vendre vue sur mer,2900000.0,Appartements dans Tanger,82.0,2.0,1.0,https://www.avito.ma/fr/malabata/appartements/Appartement_2_ch_%C3%A0_vendre_vue_sur_mer_57080322.htm,14.88022163978423,35365.85365853659
Grand Appartement Mhamid Avenue Nakhil,820000.0,Appartements dans Marrakech,126.0,2.0,2.0,https://www.avito.ma/fr/m_hamid/appartements/Grand_Appartement_Mhamid_Avenue_Nakhil_57161563.htm,13.617060838751888,6507.936507936508
Appartement 2 chambres corniche investisseurs airbnb,1100000.0,Appartements dans Tanger,75.0,2.0,1.0,https://www.avito.ma/fr/malabata/appartements/Appartement_2_chambres_corniche_investisseurs_airbnb_57831155.htm,13.910821646859095,14666.666666666666
Appartement à vendre à Harhoura,1900000.0,Appartements dans Temara,95.0,2.0,2.0,https://www.avito.ma/fr/harhoura/appartements/Appartement_%C3%A0_vendre_%C3%A0_Harhoura_56546117.htm,14.45736497045232,20000.0
Appartement à vendre à Diar Tanger El Moujahidine,430000.0,Appartements dans Tanger,56.0,2.0,1.0,https://www.avito.ma/fr/moujahidine/appartements/Appartement_%C3%A0_vendre_%C3%A0_Diar_Tanger_El_Moujahidine_57719086.htm,12.971542813248437,7678.571428571428
Appartements à vendre,980000.0,Appartements dans Agadir,75.0,2.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartements_%C3%A0_vendre_56596742.htm,13.795308871054397,13066.666666666666
Appartement vue mer Anza Miftah Sahil meublé,1200000.0,Appartements dans Agadir,60.0,1.0,1.0,https://www.avito.ma/fr/anza/appartements/Appartement_vue_mer_Anza_Miftah_Sahil_meubl%C3%A9_57729148.htm,13.997832948091215,20000.0
Appartement à vendre 129 m² à Casablanca,1700000.0,Appartements dans Casablanca,146.0,3.0,3.0,https://www.avito.ma/fr/almaz/appartements/Appartement_%C3%A0_vendre_129_m%C2%B2_%C3%A0_Casablanca_57503328.htm,14.346139397261565,11643.835616438357
Appartement à vendre 123 m² à Casablanca,1780000.0,Appartements dans Casablanca,123.0,3.0,2.0,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_123_m%C2%B2_%C3%A0_Casablanca_55242385.htm,14.392124484065864,14471.544715447155
Appartement à vendre 73m² La Perle Bleue à Dakhla,581625.0,Appartements dans Dakhla,73.0,3.0,1.0,https://www.avito.ma/fr/dakhla/appartements/Appartement_%C3%A0_vendre_73m%C2%B2_La_Perle_Bleue_%C3%A0_Dakhla_56420853.htm,13.27358290846634,7967.465753424657
CMN-SI-1879 - Appartement à vendre à Ziraoui,3480000.0,Appartements dans Casablanca,260.0,3.0,2.0,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1879___Appartement_%C3%A0_vendre_%C3%A0_Ziraoui_57331613.htm,15.062543139106937,13384.615384615385
Appartements à vendre,1220000.0,Appartements dans Agadir,107.0,3.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartements_%C3%A0_vendre_57272868.htm,14.014362236381235,11401.869158878504
"Appartement à vendre au quatrième étage, excellent emplacement",395000.0,Appartements dans Bouznika,56.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_au_quatri%C3%A8me_%C3%A9tage__excellent_emplacement_57210053.htm,12.886643575525625,7053.571428571428
Appartement Massira 1 Ahbass 4ème étage,780000.0,Appartements dans Marrakech,113.0,2.0,1.0,https://www.avito.ma/fr/massira_1/appartements/Appartement_Massira_1_Ahbass_4%C3%A8me_%C3%A9tage_57648339.htm,13.567050480716235,6902.654867256637
Appartement à vendre 165 m² à Casablanca,3500000.0,Appartements dans Casablanca,176.0,3.0,3.0,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_57627551.htm,15.068273812173887,19886.363636363636
Appartement à vendre105m²Les Jardins de la Coupole,1369592.0,Appartements dans Agadir,105.0,4.0,1.0,https://www.avito.ma/fr/av_mokawama/appartements/Appartement_%C3%A0_vendre105m%C2%B2Les_Jardins_de_la_Coupole_56420860.htm,14.130024173375245,13043.733333333334
Appartement à vendre 95 m² à Marrakech,1350000.0,Appartements dans Marrakech,95.0,2.0,1.0,https://www.avito.ma/fr/route_de_safi/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_57746811.htm,14.115615891155079,14210.526315789473
Appartement à vendre 95 m² à Marrakech palmeraie,1500000.0,Appartements dans Marrakech,95.0,2.0,2.0,https://www.avito.ma/fr/palmeraie/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_palmeraie_57216492.htm,14.220976332738882,15789.473684210527
Appartement Ensoleillé à vendre 50 m² à Tamensourt,295000.0,Appartements dans Tamensourt,50.0,1.0,1.0,https://www.avito.ma/fr/tamensourt/appartements/Appartement_Ensoleill%C3%A9_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Tamensourt_57744621.htm,12.59473402514672,5900.0
CMN-MA-1866 - Appartement à vendre à Les princesses,1330000.0,Appartements dans Casablanca,106.0,2.0,1.0,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1866___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55872150.htm,14.100690252077353,12547.169811320755
Superbe studio 56 m² à saisir à Marrakech,1064000.0,Appartements dans Marrakech,56.0,1.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Superbe_studio_56_m%C2%B2_%C3%A0_saisir_%C3%A0_Marrakech_57765868.htm,13.877546888732908,19000.0
Appartement 4 pièces 102 m² ascenseur syndic sur rue,1070000.0,Appartements dans Tanger,102.0,4.0,2.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_4_pi%C3%A8ces_102_m%C2%B2_ascenseur_syndic_sur_rue_57842770.htm,13.883170141017091,10490.196078431372
Appartement terrasse 196 m ascenseur syndic déclaration totale,1020000.0,Appartements dans Tanger,196.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_terrasse_196_m_ascenseur_syndic_d%C3%A9claration_totale_57842766.htm,13.83531416565213,5204.081632653061
Appartement neuf et moderne sur la corniche,1700000.0,Appartements dans Tanger,100.0,2.0,2.0,https://www.avito.ma/fr/malabata/appartements/Appartement_neuf_et_moderne_sur_la_corniche_57703995.htm,14.346139397261565,17000.0
Appartement à vendre 76 m² à Marrakech,1500000.0,Appartements dans Marrakech,76.0,2.0,2.0,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Marrakech_57647629.htm,14.220976332738882,19736.842105263157
Spacieux Appartement 2 Chambres à la Vente Guéliz,2350000.0,Appartements dans Marrakech,110.0,2.0,2.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Spacieux_Appartement_2_Chambres_%C3%A0_la_Vente_Gu%C3%A9liz_57648625.htm,14.669926311652166,21363.636363636364
"Appartement avec terrasse 118 m, ascenseur, syndic, 3 minutes de la gare",800000.0,Appartements dans Tanger,118.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_avec_terrasse_118_m__ascenseur__syndic__3_minutes_de_la_gare_57842758.htm,13.592368256649284,6779.661016949152
Appartement excellent 64 mètres avec soutien financier,520000.0,Appartements dans Marrakech,64.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_excellent_64_m%C3%A8tres_avec_soutien_financier_56250121.htm,13.161586013632684,8125.0
Appartement titré à Ain Melloul,980000.0,Appartements dans Tétouan,130.0,3.0,2.0,https://www.avito.ma/fr/wilaya/appartements/Appartement_titr%C3%A9_%C3%A0_Ain_Melloul_57842743.htm,13.795308871054397,7538.461538461538
CMN-AC-2017 - Appartement à vendre à Californie,1690000.0,Appartements dans Casablanca,144.0,2.0,2.0,https://www.avito.ma/fr/californie/appartements/CMN_AC_2017___Appartement_%C3%A0_vendre_%C3%A0_Californie_57245074.htm,14.340239678615058,11736.111111111111
Bel appartement en vente bd 2 mars,1930000.0,Appartements dans Casablanca,129.0,3.0,2.0,https://www.avito.ma/fr/2_mars/appartements/Bel_appartement_en_vente_bd_2_mars_55936018.htm,14.47303107901565,14961.24031007752
Studio de 59m² à vendre à Ain Sebaa,620000.0,Appartements dans Casablanca,59.0,1.0,1.0,https://www.avito.ma/fr/ain_sebaa/appartements/Studio_de_59m%C2%B2_%C3%A0_vendre_%C3%A0_Ain_Sebaa_56512484.htm,13.3374763699232,10508.474576271186
Appartement en vente ain borja,850000.0,Appartements dans Casablanca,81.0,2.0,2.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_en_vente_ain_borja_50678435.htm,13.652992804936396,10493.827160493827
Appartement à vendre 100 m² à Essaouira,1300000.0,Appartements dans Essaouira,100.0,2.0,1.0,https://www.avito.ma/fr/essaouira/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Essaouira_57768262.htm,14.077875591662238,13000.0
CMN-SI-1881 - Appartement à vendre à Bourgogne Est,1800000.0,Appartements dans Casablanca,103.0,3.0,2.0,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1881___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57341638.htm,14.403297778421795,17475.728155339806
Appartement neuf enregistré conservé Médina Errahma,570000.0,Appartements dans Casablanca,75.0,3.0,2.0,https://www.avito.ma/fr/errahma/appartements/Appartement_neuf_enregistr%C3%A9_conserv%C3%A9_M%C3%A9dina_Errahma_50961295.htm,13.25339339419516,7600.0
BEN-MA-1118 - Appartement à vendre à Mansouria-B...,1200000.0,Appartements dans Benslimane,98.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/BEN_MA_1118___Appartement_%C3%A0_vendre_%C3%A0_Mansouria_B____57276565.htm,13.997832948091215,12244.897959183674
Appartement de luxe à vendre à Marina golf Asilah,1800000.0,Appartements dans Asilah,113.0,3.0,2.0,https://www.avito.ma/fr/asilah/appartements/Appartement_de_luxe_%C3%A0_vendre_%C3%A0_Marina_golf_Asilah_57837614.htm,14.403297778421795,15929.20353982301
Studio vue piscine à vendre 51 m² à Marrakech,1150000.0,Appartements dans Marrakech,51.0,1.0,1.0,https://www.avito.ma/fr/hivernage/appartements/Studio_vue_piscine_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Marrakech_57774591.htm,13.955273369904273,22549.019607843136
Studio à vendre 52 m² à Californie,1100000.0,Appartements dans Casablanca,58.0,1.0,1.0,https://www.avito.ma/fr/californie/appartements/Studio_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Californie_56564882.htm,13.910821646859095,18965.51724137931
Appartement à vendre 170 m² à CFC,4200000.0,Appartements dans Casablanca,170.0,3.0,3.0,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_CFC_57775845.htm,15.250595321348806,24705.882352941175
Vente appartement 50m² Haut Agdal,1550000.0,Appartements dans Rabat,50.0,1.0,1.0,https://www.avito.ma/fr/agdal/appartements/Vente_appartement_50m%C2%B2_Haut_Agdal_57842666.htm,14.253766134056512,31000.0
Appartement à vendre 52 m² à Casablanca,420000.0,Appartements dans Casablanca,52.0,2.0,1.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Casablanca_56849909.htm,12.948012371209098,8076.923076923077
beau duplex en vente ain borja,850000.0,Appartements dans Casablanca,85.0,2.0,1.0,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/beau_duplex_en_vente_ain_borja_57467935.htm,13.652992804936396,10000.0
CMN-HA-1848 - Appartement à vendre à Lissasfa,930000.0,Appartements dans Casablanca,103.0,3.0,1.0,https://www.avito.ma/fr/lissasfa/appartements/CMN_HA_1848___Appartement_%C3%A0_vendre_%C3%A0_Lissasfa_57291337.htm,13.742940940397677,9029.126213592233
Appartement Mers Sultan 139 m² à Casablanca,1750000.0,Appartements dans Casablanca,139.0,2.0,2.0,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_Mers_Sultan_139_m%C2%B2_%C3%A0_Casablanca_56434189.htm,14.375126917328105,12589.928057553956
Bel appartement en vente al fida,660000.0,Appartements dans Casablanca,66.0,2.0,1.0,https://www.avito.ma/fr/al_fida/appartements/Bel_appartement_en_vente_al_fida_55715816.htm,13.399996629152975,10000.0
bel appartement en vente ain borja,693500.0,Appartements dans Casablanca,79.0,3.0,1.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/bel_appartement_en_vente_ain_borja_53581921.htm,13.449507960697051,8778.481012658227
Appartement à vendre 68 m² au maarif,1280000.0,Appartements dans Casablanca,68.0,2.0,1.0,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_68_m%C2%B2_au_maarif_56499615.htm,14.062371417145494,18823.529411764706
Bel appartement vente quartier des hôpitaux,1200000.0,Appartements dans Casablanca,92.0,2.0,2.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Bel_appartement_vente_quartier_des_h%C3%B4pitaux_48561359.htm,13.997832948091215,13043.478260869566
Appartement à vendre 59 m² à Ain Sebaa,708000.0,Appartements dans Casablanca,59.0,2.0,2.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_59_m%C2%B2_%C3%A0_Ain_Sebaa_57634725.htm,13.470200785104238,12000.0
Bel appartement vente belvedere,970000.0,Appartements dans Casablanca,109.0,3.0,2.0,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Bel_appartement_vente_belvedere_51013634.htm,13.785052381406869,8899.08256880734
Grand bel appartement en vente Casablanca,1690000.0,Appartements dans Casablanca,189.0,3.0,2.0,https://www.avito.ma/fr/centre_ville/appartements/Grand_bel_appartement_en_vente_Casablanca_56540709.htm,14.340239678615058,8941.798941798941
Bel appartement de 73m² à Ain Sebaa,817600.0,Appartements dans Casablanca,73.0,3.0,2.0,https://www.avito.ma/fr/oulfa/appartements/Bel_appartement_de_73m%C2%B2_%C3%A0_Ain_Sebaa_54211100.htm,13.614129721522806,11200.0
CMN-AC-1971 - Appartement à vendre à Sidi Maarouf,770000.0,Appartements dans Casablanca,72.0,2.0,1.0,https://www.avito.ma/fr/sidi_maarouf/appartements/CMN_AC_1971___Appartement_%C3%A0_vendre_%C3%A0_Sidi_Maarouf_57245006.htm,13.554147092530322,10694.444444444445
Appartement 110 m² à Casablanca,530000.0,Appartements dans Casablanca,110.0,3.0,2.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_110_m%C2%B2_%C3%A0_Casablanca_54645618.htm,13.180634172318978,4818.181818181818
CMN-MA-2404 - Appartement à vendre à Les princesses,2400000.0,Appartements dans Casablanca,121.0,3.0,2.0,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_2404___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_57234386.htm,14.690979711984754,19834.710743801654
CMN-HA-1920 - Appartement à vendre à Oulfa,1092000.0,Appartements dans Casablanca,78.0,2.0,2.0,https://www.avito.ma/fr/oulfa/appartements/CMN_HA_1920___Appartement_%C3%A0_vendre_%C3%A0_Oulfa_57324742.htm,13.903522351037484,14000.0
bel appartement en vente 3 chambres 1 salon,950000.0,Appartements dans Casablanca,112.0,3.0,1.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/bel_appartement_en_vente_3_chambres_1_salon_49517461.htm,13.76421831620775,8482.142857142857
Grand appartement en vente à Ain Borja,1600000.0,Appartements dans Casablanca,225.0,4.0,2.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Grand_appartement_en_vente_%C3%A0_Ain_Borja_57043473.htm,14.285514812209815,7111.111111111111
CMN-MA-1139 - Appartement à vendre à Val Fleurie,1800000.0,Appartements dans Casablanca,129.0,2.0,2.0,https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1139___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_57319442.htm,14.403297778421795,13953.488372093023
Grand appartement en vente Ain Borja,970000.0,Appartements dans Casablanca,148.0,3.0,2.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Grand_appartement_en_vente_Ain_Borja_57439726.htm,13.785052381406869,6554.054054054054
Beau studio en vente bd Anfa,1200000.0,Appartements dans Casablanca,50.0,1.0,1.0,https://www.avito.ma/fr/anfa/appartements/Beau_studio_en_vente_bd_Anfa_57367130.htm,13.997832948091215,24000.0
Bel appartement à vendre près du quartier Al Qods Bernoussi,670000.0,Appartements dans Casablanca,87.0,2.0,2.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/Bel_appartement_%C3%A0_vendre_pr%C3%A8s_du_quartier_Al_Qods_Bernoussi_57001375.htm,13.415034483903348,7701.149425287356
RBA-YA-1053 - Appartement à vendre à Hay El Menzah,2100000.0,Appartements dans Rabat,150.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/RBA_YA_1053___Appartement_%C3%A0_vendre_%C3%A0_Hay_El_Menzah_56835389.htm,14.557448378884015,14000.0
CMN-ME-1691 - Appartement à vendre à 2 Mars,2100000.0,Appartements dans Casablanca,156.0,3.0,2.0,https://www.avito.ma/fr/2_mars/appartements/CMN_ME_1691___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_57340227.htm,14.557448378884015,13461.538461538461
BEN-MA-1119 - Appartement à vendre à Mansouria-B...,1640000.0,Appartements dans Benslimane,109.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/BEN_MA_1119___Appartement_%C3%A0_vendre_%C3%A0_Mansouria_B____57356776.htm,14.310207409556293,15045.871559633028
CMN-MA-2450 - Appartement à vendre à Bd Anoual,1800000.0,Appartements dans Casablanca,114.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/CMN_MA_2450___Appartement_%C3%A0_vendre_%C3%A0_Bd_Anoual_57276428.htm,14.403297778421795,15789.473684210527
CMN-AN-1884 - Appartement à vendre à Bourgogne,1300000.0,Appartements dans Casablanca,80.0,2.0,1.0,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1884___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_57370097.htm,14.077875591662238,16250.0
CMN-ME-1690 - Appartement à vendre à 2 Mars,1700000.0,Appartements dans Casablanca,85.0,2.0,2.0,https://www.avito.ma/fr/2_mars/appartements/CMN_ME_1690___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_57325115.htm,14.346139397261565,20000.0
